Tweet,Date,FC,RC,Hashtags,DOW,Month,Hour,Minute,Time
"Bernie Sanders is being treated very badly by the Dems. The system is rigged against him. He should run as an independent! Run Bernie, run.",2016-05-16 10:00:52+00:00,21703,7793,,Monday,5,10,0,10.0
Great new poll- thank you! #MakeAmericaGreatAgain #Trump2016,2016-05-16 02:23:06+00:00,19639,7740,#MakeAmericaGreatAgain #Trump2016,Monday,5,2,23,2.38
The @washingtonpost report on potential VP candidates is wrong. Marco Rubio and most others mentioned are NOT under consideration.,2016-05-16 01:25:54+00:00,12871,4923,,Monday,5,1,25,1.42
"The media is really on a witch-hunt against me. False reporting, and plenty of it - but we will prevail!",2016-05-15 19:26:45+00:00,19698,7082,,Sunday,5,19,26,19.43
"Wow, I have had so many calls from high ranking people laughing at the stupidity of the failing @nytimes piece. Massive front page for that!",2016-05-15 19:06:18+00:00,13444,4104,,Sunday,5,19,6,19.1
Everyone is laughing at the @nytimes for the lame hit piece they did on me and women.I gave them many names of women I helped-refused to use,2016-05-15 11:13:17+00:00,13336,4130,,Sunday,5,11,13,11.22
"Wow, @CNN is really working hard to make me look as bad as possible. Very unprofessional. Hurting in ratings - bad television!",2016-05-14 15:16:06+00:00,20898,6755,,Saturday,5,15,16,15.27
"If Crooked Hillary Clinton can't close the deal on Crazy Bernie, how is she going to take on China, Russia, ISIS and all of the others?",2016-05-14 01:03:02+00:00,27101,9397,,Saturday,5,1,3,1.05
"An incredible honor to receive the endorsement of a person I have such tremendous respect for. Thank you, Sheldon!",2016-05-13 20:31:52+00:00,14215,5811,,Friday,5,20,31,20.52
.@thehill Your story about me &amp; the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!,2016-05-13 18:40:19+00:00,14017,6081,,Friday,5,18,40,18.67
"Senator Lindsey Graham called me yesterday, very much to my surprise, and we had a very interesting talk about national security, and more!",2016-05-13 02:32:52+00:00,19800,4846,,Friday,5,2,32,2.53
Great day in D.C. with @SpeakerRyan and Republican leadership. Things working out really well! #Trump2016,2016-05-12 18:12:38+00:00,24558,6904,#Trump2016,Thursday,5,18,12,18.2
Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump & gets nothing done in Senate?,2016-05-11 20:41:51+00:00,22252,7804,,Wednesday,5,20,41,20.68
Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!,2016-05-11 14:18:21+00:00,13693,4293,,Wednesday,5,14,18,14.3
I don't want to hit Crazy Bernie Sanders too hard yet because I love watching what he is doing to Crooked Hillary. His time will come!,2016-05-11 10:26:37+00:00,26187,8300,,Wednesday,5,10,26,10.43
"Big wins in West Virginia and Nebraska. Get ready for November - Crooked Hillary, who is looking very bad against Crazy Bernie, will lose!",2016-05-11 10:22:54+00:00,15345,4586,,Wednesday,5,10,22,10.37
The Clintons spend millions on negative ads on me & I can’t tell the truth about her husband? Don’t feel sorry for crooked Hillary!,2016-05-10 19:31:30+00:00,24027,8713,,Tuesday,5,19,31,19.52
"I look very much forward to meeting w/Paul Ryan & the GOP Party Leadership on Thurs in DC. Together, we will beat the Dems at all levels!",2016-05-10 16:18:41+00:00,15900,4296,,Tuesday,5,16,18,16.3
It is only the people that were never asked to be VP that tell the press that they will not take the position.,2016-05-10 14:03:51+00:00,16358,5049,,Tuesday,5,14,3,14.05
"Why does the media, with a strong push from Crooked Hillary, keep pushing the false narrative that I want to raise taxes. Exactly opposite!",2016-05-10 12:57:08+00:00,16497,6389,,Tuesday,5,12,57,12.95
"Get out and vote Nebraska, we will MAKE AMERICA GREAT AGAIN!",2016-05-10 10:27:51+00:00,10948,3778,,Tuesday,5,10,27,10.45
I am lowering taxes far more than any other candidate. Any negotiated increase by Congress to my proposal would still be lower than current!,2016-05-09 17:21:21+00:00,16414,5484,,Monday,5,17,21,17.35
I will have set the all time record in primary votes in the Republican party --despite having to compete against 17 other people!,2016-05-09 16:59:00+00:00,14455,4462,,Monday,5,16,59,16.98
"If I only had 1 person running against me in the primaries like Hillary Clinton, I would have gotten 10 million more votes than she did!",2016-05-09 16:57:46+00:00,13757,3989,,Monday,5,16,57,16.95
Crooked Hillary Clinton says that she got more primary votes than Donald Trump. But I had 17 people to beat—she had one!,2016-05-09 16:56:36+00:00,14889,4806,,Monday,5,16,56,16.93
I will win the election against Crooked Hillary despite the people in the Republican Party that are currently and selfishly opposed to me!,2016-05-09 09:32:05+00:00,18338,6389,,Monday,5,9,32,9.53
"Crooked Hillary just can't close the deal with Bernie. It will be the same way with ISIS, and China on trade, and Mexico at the border. Bad!",2016-05-08 20:15:20+00:00,20962,7280,,Sunday,5,20,15,20.25
"Remember when the two failed presidential candidates, Lindsey Graham and Jeb Bush, signed a binding PLEDGE? They broke the deal, no honor!",2016-05-07 17:46:46+00:00,21895,8051,,Saturday,5,17,46,17.77
I am honored that the great men and women of the @Teamsters have created a movement from within called Teamsters for Trump! Thank you.,2016-05-07 15:53:38+00:00,18557,6112,,Saturday,5,15,53,15.88
"I am going to keep our jobs in the U.S., and totally rebuild our crumbling infrastructure. Crooked Hillary has no clue! @Teamsters",2016-05-07 15:47:00+00:00,16299,5537,,Saturday,5,15,47,15.78
"Goofy Elizabeth Warren is weak and ineffective. Does nothing. All talk, no action -- maybe her Native American name?",2016-05-07 02:44:54+00:00,17899,5712,,Saturday,5,2,44,2.73
Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.,2016-05-07 02:44:44+00:00,17372,5682,,Saturday,5,2,44,2.73
Crooked Hillary Clinton wants completely open borders. Millions of Democrats will run from her over this and support me.,2016-05-07 00:16:31+00:00,18559,6888,,Saturday,5,0,16,0.27
"Just met with courageous family of Sarah Root in Nebraska. Sarah was horribly killed by illegal immigrant, but leaves behind amazing legacy.",2016-05-07 00:14:54+00:00,16901,6004,,Saturday,5,0,14,0.23
"Goofy Elizabeth Warren, Hillary Clinton’s flunky, has a career that is totally based on a lie. She is not Native American.",2016-05-06 23:16:36+00:00,15559,5366,,Friday,5,23,16,23.27
Let’s properly check goofy Elizabeth Warren’s records to see if she is Native American. I say she’s a fraud!,2016-05-06 23:16:17+00:00,14493,4959,,Friday,5,23,16,23.27
I hope corrupt Hillary Clinton chooses goofy Elizabeth Warren as her running mate. I will defeat them both.,2016-05-06 23:15:58+00:00,20514,6677,,Friday,5,23,15,23.25
Thank you to teachers across America! When I become POTUS we will make education a far more important component of our life than it is now.,2016-05-06 16:08:23+00:00,19980,6714,,Friday,5,16,8,16.13
"Crooked Hillary has ZERO leadership ability. As Bernie Sanders says, she has bad judgement. Constantly playing the women's card - it is sad!",2016-05-06 12:38:38+00:00,23947,8195,,Friday,5,12,38,12.63
"Paul Ryan said that I inherited something very special, the Republican Party. Wrong, I didn't inherit it, I won it with millions of voters!",2016-05-06 12:08:37+00:00,34546,11451,,Friday,5,12,8,12.13
"Governor Rick Perry said ""Donald Trump is one of the most talented people running for the Presidency I've ever seen."" Thank you Rick!",2016-05-06 10:19:08+00:00,18540,5466,,Friday,5,10,19,10.32
"Unlike crooked Hillary Clinton, who wants to destroy all miners, I want wages to go up in America. We will do so by bringing back jobs!",2016-05-06 10:14:56+00:00,17745,5830,,Friday,5,10,14,10.23
